Datetime,OFFENSE INVOLVING CHILDREN,NARCOTICS,THEFT,BATTERY,CRIMINAL DAMAGE,SEX OFFENSE,CRIM SEXUAL ASSAULT,OTHER OFFENSE,ASSAULT,DECEPTIVE PRACTICE,BURGLARY,MOTOR VEHICLE THEFT,WEAPONS VIOLATION,ROBBERY,CRIMINAL TRESPASS,LIQUOR LAW VIOLATION,PUBLIC PEACE VIOLATION,PROSTITUTION,INTERFERENCE WITH PUBLIC OFFICER,ARSON,CRIMINAL SEXUAL ASSAULT,GAMBLING,STALKING,HOMICIDE,KIDNAPPING,INTIMIDATION,OBSCENITY,OTHER NARCOTIC VIOLATION,PUBLIC INDECENCY,NON-CRIMINAL,HUMAN TRAFFICKING
2010-02-06,3,151,159,136,87,6,2,58,42,32,42,43,10,36,30,5.0,6,5,2,0,0.0,2.0,0,1.0,0.0,0.0,0.0,,,,
2010-02-07,6,80,137,179,107,2,2,56,30,20,44,24,5,27,24,0.0,5,5,2,1,1.0,1.0,0,3.0,1.0,0.0,0.0,,,,
2010-02-08,8,92,181,159,74,1,2,67,48,28,59,47,12,24,23,4.0,7,2,2,2,0.0,2.0,0,0.0,1.0,0.0,0.0,,,,
2010-02-09,8,122,178,100,80,1,1,52,55,31,61,28,6,27,23,2.0,13,5,1,1,0.0,0.0,1,0.0,1.0,0.0,0.0,,,,
2010-02-10,12,143,157,121,56,2,5,56,46,41,44,37,7,35,31,4.0,11,12,1,1,0.0,2.0,0,1.0,0.0,1.0,0.0,,,,
2010-02-11,3,155,173,109,70,1,1,72,50,43,45,38,6,29,29,1.0,6,15,1,2,0.0,1.0,1,0.0,0.0,0.0,0.0,,,,
2010-02-12,9,179,162,115,94,2,3,65,52,41,59,28,10,25,26,1.0,8,11,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,,,,
2010-02-13,9,138,147,182,100,0,3,58,44,27,49,40,7,19,34,2.0,5,6,3,1,0.0,1.0,0,1.0,0.0,0.0,0.0,,,,
2010-02-14,8,105,140,177,70,2,3,49,44,26,46,30,6,18,21,1.0,8,6,1,0,0.0,1.0,0,1.0,1.0,2.0,0.0,,,,
2010-02-15,6,141,163,131,64,3,0,75,41,39,44,48,7,20,26,3.0,2,5,2,2,0.0,1.0,2,1.0,1.0,1.0,0.0,,,,
2010-02-16,2,145,195,146,89,3,4,69,45,34,51,42,11,30,27,2.0,10,13,1,0,0.0,0.0,0,0.0,0.0,0.0,2.0,,,,
2010-02-17,9,170,177,122,93,3,2,66,44,41,64,38,15,33,25,4.0,5,9,1,0,0.0,1.0,0,1.0,2.0,1.0,0.0,,,,
2010-02-18,4,173,163,177,110,1,2,73,67,50,67,40,13,21,39,3.0,14,13,2,1,0.0,1.0,1,1.0,0.0,0.0,0.0,,,,
2010-02-19,5,163,175,147,93,3,4,52,73,54,55,39,10,29,23,4.0,21,7,1,2,0.0,1.0,0,1.0,0.0,0.0,0.0,,,,
2010-02-20,5,161,181,186,97,0,3,53,46,31,34,43,7,19,25,2.0,6,4,2,2,0.0,1.0,1,1.0,0.0,1.0,1.0,,,,
2010-02-21,6,101,139,199,99,1,1,54,37,27,39,35,5,23,21,4.0,7,5,1,1,0.0,0.0,1,1.0,1.0,1.0,0.0,,,,
2010-02-22,7,120,155,122,89,1,5,71,51,28,67,37,6,23,32,1.0,9,2,2,0,0.0,0.0,1,0.0,1.0,1.0,0.0,,,,
2010-02-23,9,187,185,141,93,3,0,66,50,35,49,40,12,31,35,2.0,11,12,2,1,0.0,0.0,0,0.0,3.0,2.0,1.0,,,,
2010-02-24,7,168,170,165,82,2,2,62,53,32,53,26,14,28,20,2.0,5,10,3,1,0.0,0.0,0,1.0,4.0,0.0,0.0,,,,
2010-02-25,5,121,174,163,81,2,2,61,50,49,49,40,10,20,32,2.0,12,6,3,0,0.0,0.0,0,1.0,2.0,0.0,0.0,,,,
2010-02-26,8,127,198,177,98,4,4,51,81,29,64,41,6,24,32,2.0,9,1,1,0,0.0,0.0,1,0.0,3.0,0.0,0.0,,,,
2010-02-27,6,153,185,158,109,1,6,64,49,22,38,41,10,30,23,1.0,4,3,4,0,0.0,1.0,0,0.0,0.0,0.0,0.0,,,,
2010-02-28,8,112,149,174,94,2,8,56,61,29,39,44,4,25,22,1.0,2,5,3,1,0.0,0.0,1,2.0,1.0,0.0,0.0,,,,
2010-03-01,7,174,243,160,108,7,6,119,45,55,61,51,7,33,33,2.0,10,8,5,3,0.0,0.0,0,1.0,0.0,1.0,0.0,,,,
2010-03-02,8,185,177,181,85,2,2,50,52,40,52,51,7,17,34,1.0,8,10,1,3,0.0,1.0,0,1.0,2.0,0.0,0.0,,,,
2010-03-03,13,167,168,172,102,2,1,61,65,48,56,31,7,18,23,2.0,10,10,1,2,0.0,1.0,0,1.0,0.0,1.0,0.0,,,,
